id,crashYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,crashLocation1,crashLocation2,region,holiday,light,speedLimit,advisorySpeed,latitude,longitude,bicycle,bus,carStationWagon,moped,motorcycle,otherVehicleType,pedestrian,schoolBus,suv,taxi,train,truck,vanOrUtility,vehicle
497738,2003,Serious Crash,0,1,0,BETHELLS ROAD,TE AUTE RIDGE W,Auckland Region,,Bright sun,100,,174.465296,-36.872313,0,0,1,1,0,0,,0,0,0,,0,0,
334315,2008,Fatal Crash,1,1,1,SH 35,DOWNEY ROAD,Gisborne Region,Christmas New Year,Bright sun,100,65,178.197071,-37.594483,0,0,0,0,0,0,,0,0,0,0,1,0,0
170931,2009,Minor Crash,0,0,2,SH 3,TURAKINA BEACH ROAD,Manawatu-Wanganui Region,,Dark,100,,175.211721,-40.035231,0,0,1,0,0,0,,0,0,0,0,1,0,0
120090,2011,Minor Crash,0,0,1,ELTHAM ROAD,STRATFORD ST,Marlborough Region,,Overcast,50,,173.947184,-41.521399,0,0,1,0,0,0,,0,0,0,,0,1,
194253,2018,Minor Crash,0,0,1,MOKOIA ROAD,PORRITT AVENUE,Auckland Region,,Dark,50,,174.719095,-36.811307,0,0,1,0,1,0,,0,0,0,,0,0,
43782,2007,Minor Crash,0,0,1,SH 1N,PENROSE OBR,Auckland Region,,Bright sun,100,,174.823205,-36.912526,0,0,1,0,0,0,,0,0,0,0,1,0,0
95229,2006,Serious Crash,0,2,0,SH 2,ORCHARD EAST ROAD,Waikato Region,,Overcast,100,,175.530835,-37.273249,0,0,1,0,0,0,,0,0,0,,1,0,
111365,2010,Serious Crash,0,1,0,MURRAY ST,DOMAIN AVENUE,Canterbury Region,,Dark,50,,171.299967,-44.250264,0,0,1,0,0,0,,0,0,0,0,0,0,0
254273,2018,Serious Crash,0,1,0,COOK DRIVE,WHITE ST,Waikato Region,,Dark,50,,175.697495,-36.839570,0,0,1,0,1,0,,0,0,0,0,0,0,0
259066,2001,Serious Crash,0,1,0,GLENGARRY ROAD,ROSIER ROAD,Auckland Region,,Twilight,50,,174.638768,-36.921767,0,0,1,0,1,0,,0,0,0,,0,0,
256425,2011,Minor Crash,0,0,1,LATHAM ST,WELLESLEY ROAD,Hawke's Bay Region,,Bright sun,50,,176.914932,-39.498643,0,0,1,1,0,0,,0,0,0,,0,0,
94225,2008,Serious Crash,0,1,0,SH 2,HOROKIWI ROAD,Wellington Region,,Bright sun,100,,174.849665,-41.227142,1,0,1,0,0,0,,0,0,0,0,0,0,0
25765,2017,Minor Crash,0,0,1,ARTHURS POINT ROAD,ATLEY ROAD,Otago Region,,Bright sun,70,35,168.674051,-44.986403,0,0,2,0,0,0,,0,0,0,,0,0,
81606,2001,Fatal Crash,1,0,0,OMAHU ROAD,RAUPARE ROAD,Hawke's Bay Region,,Overcast,70,,176.808126,-39.616086,0,0,0,0,1,0,,0,0,0,0,0,0,0
256340,2007,Serious Crash,0,1,0,BUCKLEYS ROAD,LINWOOD AVENUE,Canterbury Region,,Bright sun,50,,172.673228,-43.533593,0,0,1,0,0,0,1,0,0,0,,0,0,
52510,2012,Minor Crash,0,0,1,PENNEY AVENUE,RICHARDSON ROAD,Auckland Region,,Twilight,50,,174.730780,-36.915901,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90784,2001,Minor Crash,0,0,1,SH 20,RIMU OFF SBD,Auckland Region,,Dark,100,,174.789659,-36.937156,0,0,0,0,0,0,,0,0,0,0,0,1,0
256787,2005,Minor Crash,0,0,1,SH 25,OTUTURU CRESCENT,Waikato Region,,Overcast,100,,175.509580,-37.006627,0,0,1,0,1,0,,0,0,0,,0,0,
62500,2011,Minor Crash,0,0,1,GREAT SOUTH ROAD,FAIRBURN ROAD,Auckland Region,,Bright sun,50,,174.845667,-36.947024,1,0,1,0,0,0,,0,0,0,,0,0,
250661,2016,Minor Crash,0,0,1,MAY ST,KNIGHTON ROAD,Waikato Region,,Dark,50,,175.312977,-37.784482,0,0,1,0,0,0,,0,0,0,0,0,0,0
256637,2009,Minor Crash,0,0,2,KOHI POINT LOOKOUT ROAD,OTARAWAIRERE ROAD,Bay of Plenty Region,,Dark,100,,177.016520,-37.958346,0,0,0,0,0,0,,0,0,0,0,0,1,0
